date,equity,cash,positions
2020-07-20,1640121.394359827,38907.22082352638,5
2020-07-21,1629139.08821702,39464.62951493263,5
2020-07-22,1640231.1544191837,19547.487821817398,5
2020-07-23,1610919.4169027805,48.96559739112854,5
2020-07-24,1589788.3502600193,48.96559739112854,5
2020-07-27,1606436.9789984226,48.96559739112854,5
2020-07-28,1587414.9873259068,0.756216287612915,5
2020-07-29,1600485.4138166904,1.3995726108551025,5
2020-07-30,1588125.1663267612,1.3995726108551025,5
2020-07-31,1572827.9518034458,2.124176263809204,5
2020-08-03,1580577.3631689548,2.124176263809204,5
2020-08-04,1585401.9893782139,2.124176263809204,5
2020-08-05,1595691.5720160007,2.124176263809204,5
2020-08-06,1595468.93603158,2.124176263809204,5
2020-08-07,1618576.1484167576,2.124176263809204,5
2020-08-10,1632591.4608385563,73.00802636146545,5
2020-08-11,1621931.4325010777,15663.314256429672,5
2020-08-12,1627102.2493355274,15663.314256429672,5
2020-08-13,1624779.4285874367,15663.314256429672,5
2020-08-14,1645290.6187007427,15663.314256429672,5
2020-08-17,1646853.3076620102,47.80075240135193,5
2020-08-18,1658393.612186432,47.80075240135193,5
2020-08-19,1655442.8628952503,9880.445926427841,5
2020-08-20,1657956.5901608467,11149.770471334457,5
2020-08-21,1679650.1612126827,12.820382833480835,5
2020-08-24,1681724.482903719,24.336042165756226,5
2020-08-25,1677423.5938754082,24.336042165756226,5
2020-08-26,1699396.5845367908,81.85016798973083,5
2020-08-27,1712730.1266891956,81.85016798973083,5
2020-08-28,1711437.3385660648,7.866933584213257,5
2020-08-31,1743372.371010542,53.50356841087341,5
2020-09-01,1723834.5696575642,53.50356841087341,5
2020-09-02,1694017.7858560085,32714.311101675034,5
2020-09-03,1599042.396497488,1267024.3193032742,1
2020-09-04,1604614.2043435574,164.9158160686493,5
2020-09-08,1575006.5996654034,3.7974212169647217,5
2020-09-09,1570284.9417674541,14524.05711054802,5
2020-09-10,1566696.6462638378,328652.95549464226,4
2020-09-11,1568189.1087863445,29.393547773361206,5
2020-09-14,1584565.8310439587,1691.9735114574432,5
2020-09-15,1573402.22565341,76.86528086662292,5
2020-09-16,1577083.7661044598,76.86528086662292,5
2020-09-17,1573055.0241782665,76.86528086662292,5
2020-09-18,1554257.3418090343,899075.853935957,2
2020-09-21,1523954.951313734,1219241.6987349987,1
2020-09-22,1514753.446209669,1514753.446209669,0
2020-09-23,1514753.446209669,1514753.446209669,0
2020-09-24,1514753.446209669,1514753.446209669,0
2020-09-25,1514753.446209669,1211989.3780639172,1
2020-09-28,1517259.1573913097,301713.9668967724,4
2020-09-29,1521854.2657897472,50.41391062736511,5
2020-09-30,1519006.3011443615,50.41391062736511,5
2020-10-01,1536387.4001319408,84.8038260936737,5
2020-10-02,1542261.4627540112,84.8038260936737,5
2020-10-05,1562059.596665144,84.8038260936737,5
2020-10-06,1539369.6097495556,84.8038260936737,5
2020-10-07,1558804.7207114697,84.8038260936737,5
2020-10-08,1558210.2875068188,6.659386396408081,5
2020-10-09,1571504.9448859692,6.659386396408081,5
2020-10-12,1561454.745896101,13.265778303146362,5
2020-10-13,1573739.7855079174,13.265778303146362,5
2020-10-14,1560528.0259253979,13.265778303146362,5
2020-10-15,1572672.7983558178,13.265778303146362,5
2020-10-16,1569391.1322944164,13.265778303146362,5
2020-10-19,1558723.835022688,47.3968665599823,5
2020-10-20,1573246.5616614819,47.3968665599823,5
2020-10-21,1556222.8565986156,10618.688445329666,5
2020-10-22,1563979.6775124073,10618.688445329666,5
2020-10-23,1570468.6736571789,10618.688445329666,5
2020-10-26,1545543.7274091244,10618.688445329666,5
2020-10-27,1551486.3288509846,604427.425399065,3
2020-10-28,1539847.1293103695,923450.0501549244,2
2020-10-29,1572359.022838831,923450.0501549244,2
2020-10-30,1574034.6016151905,923450.0501549244,2
2020-11-02,1561887.199506998,290868.9328300953,4
2020-11-03,1561613.6586945057,68.62919926643372,5
2020-11-04,1550917.1514847279,68.62919926643372,5
2020-11-05,1577526.58558774,68.62919926643372,5
2020-11-06,1591013.8781273365,68.62919926643372,5
2020-11-09,1647339.7210724354,68.62919926643372,5
2020-11-10,1651099.660075426,9.295296907424927,5
2020-11-11,1659555.3781044483,9.295296907424927,5
2020-11-12,1632362.644034624,9.295296907424927,5
2020-11-13,1679530.6395409107,9.295296907424927,5
2020-11-16,1734209.5006878376,9.295296907424927,5
2020-11-17,1760984.2206318378,9.295296907424927,5
2020-11-18,1723649.6944630146,9.295296907424927,5
2020-11-19,1724653.2322399616,77.58292508125305,5
2020-11-20,1716233.0435974598,25.746575593948364,5
2020-11-23,1750289.4055073261,46.62748074531555,5
2020-11-24,1809895.244408846,46.62748074531555,5
2020-11-25,1801804.5570614338,46.62748074531555,5
2020-11-27,1796442.18525815,35.9559109210968,5
2020-11-30,1760022.9627735615,24614.251771211624,5
2020-12-01,1794040.1524784565,40722.90614819527,5
2020-12-02,1777452.6790058613,40722.90614819527,5
2020-12-03,1810196.0798199177,40722.90614819527,5
2020-12-04,1828926.8028423786,40722.90614819527,5
2020-12-07,1831749.084817171,40722.90614819527,5
2020-12-08,1829681.4923565388,24859.960210084915,5
2020-12-09,1793828.2510883808,35.037755250930786,5
2020-12-10,1835904.2386791706,35.037755250930786,5
2020-12-11,1815913.1867420673,261.9056599140167,5
2020-12-14,1800764.1177723408,247.02649426460266,5
2020-12-15,1802508.0730068684,247.02649426460266,5
2020-12-16,1781647.977635622,90.82505536079407,5
2020-12-17,1787862.7805645466,90.82505536079407,5
2020-12-18,1777456.371297121,20119.288213014603,5
2020-12-21,1753339.3019611835,20119.288213014603,5
2020-12-22,1772633.4293568134,8.451764345169067,5
2020-12-23,1742811.0120518208,15.941022157669067,5
2020-12-24,1725262.7659122944,9.592633485794067,5
2020-12-28,1742350.9544193745,25.043957948684692,5
2020-12-29,1722734.7926762104,690.2261784076691,5
2020-12-30,1732605.217087984,690.2261784076691,5
2020-12-31,1744975.3688519,21701.675336122513,5
2021-01-04,1717617.8008282185,328958.3494312763,4
2021-01-05,1723267.9865162373,8.758626222610474,5
